,unnamed: 0,case_number,date,date_revised,season,year,case,type,country,country_revised,continent,area,location,activity,name,sex,age,injury,fatal,time,species ,investigator or source,href_formula,objectid,location_georeferenced_lon,location_georeferenced_lat,location_georeferenced_result,country_captalized,month,season_code
2143,2143,1993.09.26,26-Sep-93,9/26/93,fall,1993,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,Western Cape Province,Danger Point,Spearfishing,Wimpie Bouwer,male,36,Calf lacerated,non-fatal,11h30,3 m [10'] white shark,"A. Gifford, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.26-Bouwer.pdf,m_2144,19.30431,-34.62893,matched,South Africa,9,4
2144,2144,1993.09.16.b,16-Sep-93,9/16/93,fall,1993,1,Unprovoked,EL SALVADOR,EL SALVADOR,North America,La Libertad,near El Cocal Beach,Surfing,Jose Diter Roque ,unknown,15,Left leg gashed,non-fatal,unknown,3.7 m [12'] white shark,"Tampa Tribune, 9/18/1993",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.16.b-Roque.pdf,m_2145,-89.36713444,13.70569894,matched,El Salvador,9,4
2145,2145,1993.09.16.a,16-Sep-93,9/16/93,fall,1993,1,Unprovoked,EL SALVADOR,EL SALVADOR,North America,La Libertad,El Cocal Beach,Surfing,Mauricio Guzman Castaneda,male,17,"FATAL, arms & legs bitten, then drowned ",fatal,unknown,unknown,"Tampa Tribune, 9/18/1993",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.16.a-Castaneda.pdf,m_2146,-89.36713444,13.70569894,matched,El Salvador,9,4
2146,2146,1993.09.14,14-Sep-93,9/14/93,fall,1993,1,Unprovoked,USA,USA,North America,Florida,"Huguenot Memorial Park, Duval County",Wading,Arthur Quick,male,19,Left foot bitten,non-fatal,unknown,3' shark,"Orlando Sentinel, 9/17/1993, p. B.6; Miami Herald, 9/17/1993; Ocala Star Banner, 9/17/1993",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.14-Quick.pdf,m_2147,-81.42117,30.41779,matched,USA,9,4
2147,2147,1993.09.09,9-Sep-93,9/9/93,fall,1993,1,Unprovoked,USA,USA,North America,Florida,"Little Talbot Island, Jacksonville, Duval County",unknown,Jerry McInarnay,male,16,Left foot bitten,non-fatal,unknown,unknown,"Orlando Sentinel, 9/17/1993, p. B.6",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.09-McInarnay.pdf,m_2148,-81.67196611,30.33107429,matched,USA,9,4
2148,2148,1993.09.03,3-Sep-93,9/3/93,fall,1993,1,Unprovoked,SPAIN,SPAIN,Europe,Costa Blanca,"Playa de las Arenas, Valencia ",Swimming,Jorge Durich Heredia (or Hernandez),male,69,"Thigh bitten, toes of left foot severed",non-fatal,08h00,1.2 m [4'] shark,"Orlando Sentinel, 9/5/1993, p. A.22 citing El Pais newspaper",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.09.03-Heredia.pdf,m_2149,1.94647,41.47928,matched,Spain,9,4
2149,2149,1993.08.19.R,Reported      19-Aug-1993,unknown,unknown,1993,1,Unprovoked,USA,USA,North America,Florida,"Bethune Beach, Volusia County",Surfing,Shawn Bushong ,unknown,13,Right foot bitten,non-fatal,unknown,unknown,"Deseret News, 8/19/1993",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.19.R-Bushong.pdf,m_2150,-81.16204091,29.04750799,matched,USA,u,unknown
2150,2150,1993.08.19, 19-Aug-1993,8/19/93,summer,1993,1,Unprovoked,USA,USA,North America,Hawaii,"Paukukalo, Maui","Surfing, paddling seawards",Reggie Williams,male,unknown,Abrasions & board bitten,non-fatal,07h05,unknown,"G. Balazs; T. Allen, p.117; Hawaii Department of Land and Natural Resources",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.19.a-Williams.pdf,m_2151,-156.48768,20.90792,matched,USA,8,3
2151,2151,1993.08.15.b,15-Aug-93,8/15/93,summer,1993,1,Boat,USA,USA,North America,California,Between Santa Cruz Island and Santa Barbara,Watching the shark feeding on a dead pinniped,21 m sportfishing vessel Seabiscuit. Occupants: Captain Louie Abbott & 2 dozen anglers,unknown,unknown,No injury to occupants; shark circled boat repeatedly then rammed the vessel 3 times,non-fatal,11h30,">6 m white shark, according to witnesses","R. Collier, p.174",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.15.b-Seabiscuit-Collier.pdf,m_2152,-117.0628699,34.88751002,matched,USA,8,3
2152,2152,1993.08.15.a,15-Aug-93,8/15/93,summer,1993,1,Unprovoked,USA,USA,North America,North Carolina,Pamlico Sound,Riding floatation device,Petra Rijoes,female,19,Severe lacerations to abdomen & thighs,non-fatal,10h00,Bull shark,"Charlotte Observer, 8/19/1993, p.2C; F. Schwartz, p.23",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.15.a-Rijoes.pdf,m_2153,-75.93712,35.31267,matched,USA,8,3
2153,2153,1993.08.14,14-Aug-93,8/14/93,summer,1993,1,Boat,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,Off Rottnest Island,Fishing,5.4 m boat,unknown,unknown,"No injury to occupants. Shark struck boat, lifting the outboard motor",non-fatal,unknown,6 m [20'] white shark,"A. Sharpe, p.134",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.14-Rottnest-boat.pdf,m_2154,115.52533,-32.00169,matched,Australia,8,3
2154,2154,1993.08.12,12-Aug-93,8/12/93,summer,1993,1,Unprovoked,USA,USA,North America,California,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),David R. Miles,male,39,Severe bites to head & shoulder,non-fatal,14h00,5.5 m to 6 m [18' to 20']  white shark,"R. Collier, pp.140-142;  Orlando Sentinel, 10/2/1992, p.A3",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.12-Miles_Collier.pdf,m_2155,-123.3912784,39.44024063,matched,USA,8,3
2155,2155,1991.11.26.a,26-Nov-91,11/26/91,winter,1991,1,Unprovoked,USA,USA,North America,Hawaii,"Olowalu, Maui",Snorkeling,Louise Sourisseau,female,unknown,Right calf abraded,non-fatal,09h00,"Tiger shark, 2.4 m 3.4 m [8' to 11']","J. Borg, p.80; A. MacCormick, p.151; L. Taylor (1993), pp.112-113",http://sharkattackfile.net/spreadsheets/pdf_directory/1991.11.26.a-Sourisseau.pdf,m_2156,-156.62524,20.81398,matched,USA,1,1
2156,2156,1993.08.00.a,Aug-93,8/1/93,summer,1993,1,Boat,EL SALVADOR,EL SALVADOR,North America,La Libertad,La Libertad,Oyster fishing,"boat, occupants: 2 men",unknown,unknown,FATAL x 2,fatal,unknown,White shark?,"Tampa Tribune, 9/18/1993",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.08.00.a-El-Salvador.pdf,m_2157,-89.32155,13.48845,matched,El Salvador,8,3
2157,2157,1993.07.30,30-Jul-93,7/30/93,summer,1993,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,Eastern Cape Province,"Pollock Beach, Port Elizabeth",Surfing,Ralph LeRoux,male,28,Puncture wounds on chest,non-fatal,15h00,4 m [13'] white shark,"A. Gifford, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.07.30-LeRoux.pdf,m_2158,26.5186151,-33.29801995,matched,South Africa,7,3
2158,2158,1993.07.07,7-Jul-93,7/7/93,summer,1993,1,Unprovoked,USA,USA,North America,Florida,"Daytona Beach, Volusia County",Playing,Melissa Rodrigues,female,12,Right knee bitten,non-fatal,18h12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered","G. Taylor, Orlando Sentinel, 7/8/1993 edtion, p. B1; P. LaMee, Orlando Sentinel, 7/9/1993 edtion, p.B3",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.07.07-Rodrigues.pdf,m_2159,-81.056661,29.178618,matched,USA,7,3
2159,2159,1993.06.30,30-Jun-93,6/30/93,summer,1993,1,Unprovoked,BRAZIL,BRAZIL,South America,Pernambuco,"Boa Viagem, Recife",Swimming,Robson Antonio R. Santos,male,unknown,FATAL,fatal,unknown,unknown,JCOnline,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.30-BoaViagem.pdf,m_2160,-34.88333,-8.11667,matched,Brazil,6,3
2160,2160,1993.06.11.b,11-Jun-93,6/11/93,summer,1993,1,Unprovoked,HONG KONG,HONG KONG,Asia,New Territories,Silverstrand,Swimming,Kwong Kong-hing ,male,61,FATAL,fatal,07h15,unknown,J. Wong,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.11.b-Kwong Kong-hing.pdf,m_2161,114.2717204,22.32442124,matched,Hong Kong,6,3
2161,2161,1993.06.11.a,11-Jun-93,6/11/93,summer,1993,1,Unprovoked,MEXICO,MEXICO,North America,Quintana Roo,"Santa Rosa Shallows, Cozumel",Scuba diving,Mary Eggemeyer,female,42,FATAL,fatal,19h30,unknown,"Dallas Morning News, 6//15/1993",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.11.a-Eggemeyer.pdf,m_2162,-87.64207,20.5564,matched,Mexico,6,3
2162,2162,1992.12.28,28-Dec-92,12/28/92,winter,1992,1,Unprovoked,USA,USA,North America,Hawaii,"Honomuni, Moloka'i","Standing in waist-deep water, helping his father tend a gill net containing dead fish",Pahu Tanaka,male,10,Right leg bruised & abraded,non-fatal,A.M.,"Tiger shark, 2.4 m [8']","J. Borg, p.82",http://sharkattackfile.net/spreadsheets/pdf_directory/1992.12.28-Tanaka.pdf,m_2163,-156.79667,21.10167,matched,USA,1,1
2163,2163,1988.03.16,16-Mar-88,3/16/88,spring,1988,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,KwaZulu-Natal,Isipingo,Surfing,Sastri Naidoo,male,17,"Lower left leg bitten, hand lacerated",non-fatal,16h45,1.5 m to 2 m [5' to 6.75'] shark,"S. Naidoo, Dr. M. Raj, Dr. Motala, M. Levine, GSAF; G. Charter, B. Davis, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1988.03.16-Naidoo.pdf,m_2164,30.94455,-29.99317,matched,South Africa,3,2
2164,2164,1995.01.02,2-Jan-95,1/2/95,winter,1995,1,Unprovoked,BRAZIL,BRAZIL,South America,Pernambuco,Piedade,Surfing,Humberto Moraes de Souza,male,17,Foot bitten,non-fatal,unknown,unknown,"San Jose Mercury News, 1/6/1995, p.12A",http://sharkattackfile.net/spreadsheets/pdf_directory/1995.01.02-H.de-SouzaMoraes.pdf,m_2165,-34.91667,-8.18333,matched,Brazil,1,1
2165,2165,1989.06.03,3-Jun-89,6/3/89,summer,1989,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,Eastern Cape Province,Gonubie,Free diving,Leon Krouse,male,28,Forearm bitten,non-fatal,15h30,2.5 m [8.25'] white shark,"M. Levine, L. Krouse, P. Sachs, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.06.03-Krouse.pdf,m_2166,28.00139,-32.9495,matched,South Africa,6,3
2166,2166,1993.06.10,10-Jun-93,6/10/93,summer,1993,1,Unprovoked,USA,USA,North America,Hawaii,"Goats Island (Moku auia Island), Malaekahana State Recreation Area, Laie, O'ahu",Paddling on surfboard or body board,Jonathan Mozo,male,22,Feet & ankles bitten,non-fatal,07h10,Thought to involve a tiger shark,"G. Ambrose, pp.61-68; J. Borg, p.83",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.10-Mozo.pdf,m_2167,-157.93073,21.65654,matched,USA,6,3
2167,2167,1993.06.09,9-Jun-93,6/9/93,summer,1993,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,New South Wales,"Julian Rocks, Byron Bay",Scuba diving,John Ford,male,31,FATAL,fatal,09h30,Remains recovered from 5.5 m [18'] white shark,"A. MacCormick, p.56; H. Edwards, pp.11 & 159",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.09-JohnFord.pdf,m_2168,153.61277,-28.64693,matched,Australia,6,3
2168,2168,1993.06.05,5-Jun-93,6/5/93,summer,1993,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Tasmania,Tenth Island (King Island),Scuba diving at seal colony,Teresa Cartwright,female,34,FATAL,fatal,10h55,5 m [16.5'] white shark,"Telegraph Mirror (Sydney), June 7, 1993; H. Edwards, p.156; C. Black pp. 167-169",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.05-Cartwright.pdf,m_2169,143.99153,-39.87215,matched,Australia,6,3
2169,2169,1993.06.01,1-Jun-93,6/1/93,summer,1993,1,Unprovoked,HONG KONG,HONG KONG,Asia,New Territories,Sheung Sz Wan,Swimming,Yan Sai-wah,male,42,FATAL,fatal,unknown,unknown,"J. Wong; A. MacCormick, p.235; A. Sharpe, p.34",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.01-HongKong.pdf,m_2170,114.2910204,22.30100892,matched,Hong Kong,6,3
2170,2170,1993.06.00,Jun-93,6/1/93,summer,1993,1,Unprovoked,USA,USA,North America,North Carolina,"Hamstead, Pender County",Swimming,Suzanne Pferrer,female,60's,"No injury, bumped by shark",non-fatal,Dusk,6' shark,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.06.00-Pferrer.pdf,m_2171,-77.68004,34.39325,matched,USA,6,3
2171,2171,1993.05.00.b,Late May 1993,unknown,unknown,1993,1,Unprovoked,HONG KONG,HONG KONG,Asia,"On the Kowloon penisula, south of Sai Kung",Silverstrand,unknown,female,female,unknown,"Missing, believed taken by a shark",fatal,unknown,unknown,"J. Wong;  A. Sharpe, p.34",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.05.00.b-Kowloon.pdf,m_2172,114.2717204,22.32442124,matched,Hong Kong,u,unknown
2172,2172,1993.05.00.a,May-93,5/1/93,spring,1993,1,Unprovoked,SOMALIA,SOMALIA,Africa,Banaadir Region,"Arroyo Beach, Mogadishu",Swimming,French female,female,unknown,FATAL,fatal,unknown,unknown,"A. MacCormick, pp.3-4;  Orlando Sentinel, 112/1/1993, p.A9",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.05.00.a-Frenchfemale.pdf,m_2173,45.34157,2.03812,matched,Somalia,5,2
2173,2173,1993.04.00,Apr-93,4/1/93,spring,1993,1,Invalid,AUSTRALIA,AUSTRALIA,Oceania,Tasmania,Barren Joey Island,Spearfishing,Tony Szolomiak,male,32,No injury ,unknown,unknown,Invalid,"C. Black & T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.04.00-Szolomiak.pdf,m_2174,145.9569361,-41.24133625,matched,Australia,4,2
2174,2174,1993.03.27,27-Mar-93,3/27/93,spring,1993,1,Unprovoked,BRAZIL,BRAZIL,South America,Pernambuco,Paiva,Surfing,Jos  Ricardo C. Gouveia,male,unknown,Survived,non-fatal,unknown,unknown,JCOnline,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.27-JoseRicardoGouveia.pdf,m_2175,-34.94722,-8.25844,matched,Brazil,3,2
2175,2175,1993.03.22,22-Mar-93,3/22/93,spring,1993,1,Unprovoked,USA,USA,North America,Florida,"Singer Island, Riviera Beach, Palm Beach County",Floating on his back,Ken Dannewitz,male,25,Both feet lacerated,non-fatal,16h00,unknown,"Orlando Sentinel, 3/25/1993. p. B5",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.22-Dannewitz.pdf,m_2176,-80.075691,26.771059,matched,USA,3,2
2176,2176,1993.03.17,17-Mar-93,3/17/93,spring,1993,1,Unprovoked,JAPAN,JAPAN,Asia,Ehime Prefecture,Iyo,unknown,Yuji Yamamoto,unknown,unknown,Survived,non-fatal,unknown,Possiby white shark,K. Nakaya,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.17-Yamamoto.pdf,m_2177,132.7657971,33.84167273,matched,Japan,3,2
2177,2177,1993.03.14,14-Mar-93,3/14/93,spring,1993,1,Unprovoked,USA,USA,North America,Hawaii,"Paradise Bay (next to Wailua Bay), Maui",Paddling on surfboard,Roddy Lewis,male,35,Lower legs lacerated ,non-fatal,15h45,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)","J. Borg, p.83; G. Ambrose, pp.30-40",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.14-Lewis.pdf,m_2178,-156.5646068,20.85953511,matched,USA,3,2
2178,2178,1993.03.12,12-Mar-93,3/12/93,spring,1993,1,Unprovoked,USA,USA,North America,California,"Linda Mar Beach, Pedro Point, San Mateo County",Free diving & spearfishing (ascending),Don Berry,male,55,"No injury, swim fin bitten",non-fatal,14h30,White shark,"R. Collier, p.140",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.03.12-Berry_Collier.pdf,m_2179,-122.3286296,37.42213292,matched,USA,3,2
2179,2179,1993.02.04,4-Feb-93,2/4/93,winter,1993,1,Provoked,AUSTRALIA,AUSTRALIA,Oceania,Queensland,Mooloolaba,Fishing,John Bonell,male,69,"Legs lacerated, puncture wound in hand from hooked shark hauled onboard PROVOKED INCIDENT",non-fatal,13h45,"Bronze whaler shark, 1.5 m","Courier-Mail, 2/5/1993, p.7",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.02.04-Bonnell.pdf,m_2180,153.11787,-26.6836,matched,Australia,2,1
2180,2180,1993.01.23,23-Jan-93,1/23/93,winter,1993,1,Unprovoked,BRAZIL,BRAZIL,South America,Pernambuco,Piedade,Body boarding,Charles Roberto Soares Veras,male,15,Left leg bitten,non-fatal,unknown,unknown,D. Duarte,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.23-Veras.pdf,m_2181,-34.91667,-8.18333,matched,Brazil,1,1
2181,2181,1993.01.05,5-Jan-93,1/5/93,winter,1993,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,Daniel Lance McNally,male,21,"6"""" laceration to left forearm",non-fatal,09h00,1.5 m shark,"Courier-Mail, 1/6/1993, p.1",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.05-McNally.pdf,m_2182,148.95194,-20.34602,matched,Australia,1,1
2182,2182,1993.01.04,4-Jan-93,1/4/93,winter,1993,1,Boating,CARIBBEAN SEA,CARIBBEAN SEA,Unknown,unknown,Off Dominican Republic,   ,"canoe, occupants: Chris Newman & Stewart Newman",male,32 & 30,"No injury to occupants. Sharks, attracted to offal from slaughtered dolphin, attacked & damaged their canoe",non-fatal,unknown,Two 3 m [10'] oceanic whitetip sharks,"A. MacCormick, p.100",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.04-DominicanRepublic.pdf,m_2183,-70.49003617,18.89668483,matched,Caribbean Sea,1,1
2183,2183,1993.01.02,2-Jan-93,1/2/93,winter,1993,1,Unprovoked,USA,USA,North America,Oregon,"Bastendorf Beach, Coos County",Surfing,William Weaver,male,29,"No injury, shark bit board",non-fatal,16h30,6 m [20'] white shark,"R. Collier, pp.138-139; Mark Marks",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.01.02-Weaver_Collier.pdf,m_2184,-124.0575558,43.17177414,matched,USA,1,1
2184,2184,1993.00.00.c,Between May & Nov-1993,unknown,unknown,1993,1,Unprovoked,SOMALIA,SOMALIA,Africa,Banaadir Region,Mogadishu,unknown,several Somali children,unknown,unknown,FATAL,fatal,unknown,unknown,"Orlando Sentinel, 112/1/1993, p.A9",http://sharkattackfile.net/spreadsheets/pdf_directory/1993.00.00.c - Somali children.pdf,m_2185,45.34157,2.03812,matched,Somalia,u,unknown
2185,2185,1993.00.00.a,1993,unknown,unknown,1993,1,Unprovoked,USA,USA,North America,Florida,"Key West, Monroe County",Snorkeling,unknown,unknown,unknown,Survived,non-fatal,unknown,Lemon shark,press report,http://sharkattackfile.net/spreadsheets/pdf_directory/1993.00.00.a-NV-KeyWest.pdf,m_2186,-81.79996,24.55745,matched,USA,u,unknown
2186,2186,1989.04.23,23-Apr-89,4/23/89,spring,1989,1,Unprovoked,USA,USA,North America,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming,Scott Scherger,male,19,Right calf bitten,non-fatal,unknown,1.2 m [4'] shark,"Palm Beach Post, April 27, 1989",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.04.23-Scherger.pdf,m_2187,-80.43002413,26.62404756,matched,USA,4,2
2187,2187,1989.04.12,12-Apr-89,4/12/89,spring,1989,1,Unprovoked,USA,USA,North America,Washington,"Pacific Beach, Grays Harbor County",Surfing (lying prone on his board),Robert Harms,male,unknown,Forearm bitten,non-fatal,10h45,White shark,"R. Collier, p.110; J. McCosker & R.N. Lea",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.04.12-Harms_Collier.pdf,m_2188,-123.7737435,47.1505529,matched,USA,4,2
2188,2188,1989.04.09,9-Apr-89,4/9/89,spring,1989,1,Boat,USA,USA,North America,California,"Monterey Bay, Monterey County",unknown,10.7 m boat. Occupants: John Capella & friends,unknown,unknown,No injury to occupants. Shark rammed boat 4 times,non-fatal,10h35,5 m to 7 m white shark,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.04.09-Capella.pdf,m_2189,-121.2390196,36.21714603,matched,USA,4,2
2189,2189,1989.04.03,3-Apr-89,4/3/89,spring,1989,1,Unprovoked,USA,USA,North America,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Paddling on surfboard,Sam McLain,male,unknown,Calf lacerated,non-fatal,unknown,unknown,"J. Borg, p.77; L. Taylor (1993), pp.108-109",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.04.03-McLain.pdf,m_2190,-156.425098,20.69411697,matched,USA,4,2
2190,2190,1989.04.00,Apr-89,4/1/89,spring,1989,1,Unprovoked,USA,USA,North America,Hawaii,"Kekaha Beach, Kaua'i",Paddling on surfboard,William P. Allen,male,unknown,"Board rammed by shark, skegs knocked loose & 5' strip of fiberglass torn off, thigh scratched by shark s teeth",non-fatal,unknown,unknown,"J. Borg, p.77; L. Taylor (1993), pp.108-109",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.04.00-Allen.pdf,m_2191,-159.707097,21.96622831,matched,USA,4,2
2191,2191,1989.03.09,9-Mar-89,3/9/89,spring,1989,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",Surfing,Matthew Foale,male,27,Thigh bitten FATAL,fatal,20h15,2 m [6.75'] white shark,"Courier-Mail, 3/11/1989, p.5;  J. West, ASAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.03.09-Foale.pdf,m_2192,138.61908,-35.55647,matched,Australia,3,2
2192,2192,1989.03.04,4-Mar-89,3/4/89,spring,1989,1,Boating,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,Near Broome in Roebuck Bay,Kayaking,Kim Courtenay ,male,unknown,"No injury, but the kayak was bitten by the shark",non-fatal,unknown,"Tiger shark, 3.5 m","K. Courtenay; T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.03.04-Courtenay.pdf,m_2193,122.23719,-17.95569,matched,Australia,3,2
2193,2193,1989.02.19,19-Feb-89,2/19/89,winter,1989,1,Provoked,SOUTH AFRICA,SOUTH AFRICA,Africa,Western Cape Province,unknown,Fishing,Kobus de Jager,male,unknown,Thigh lacerated & abraded  PROVOKED INCIDENT,non-fatal,unknown,3 m [10'] gaffed shark,"Sunday Times, 2/19/1989",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.02.19.R-DeJager.pdf,m_2194,20.61639845,-33.01488773,matched,South Africa,2,1
2194,2194,1989.02.15,15-Feb-89,2/15/89,winter,1989,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,KwaZulu-Natal,Richards Bay,Windsurfing,Nico Abel,male,26,Foot bruised & minor lacerations,non-fatal,13h30,unknown,"G. Cliff, NSB",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.02.15-Abel.pdf,m_2195,32.05266,-28.75046,matched,South Africa,2,1
2195,2195,1989.01.26.b,26-Jan-89,1/26/89,winter,1989,1,Invalid,USA,USA,North America,California,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",Kayaking,Roy Jeffrey Stoddard,male,24,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,unknown,10h15,Invalid,"R. Collier, pp.106-109",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.01.26.b-Stoddard.pdf,m_2196,-118.2209347,34.3427703,matched,USA,1,1
2196,2196,1989.01.26.a,26-Jan-89,1/26/89,winter,1989,1,Unprovoked,USA,USA,North America,California,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",Kayaking,Tamara McAllister,female,24,"FATAL, thigh bitten, hands lacerated  ",fatal,10h15,5 m [16.5'] white shark,"R. Collier, pp.106-109",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.01.26.a-McAllister_Collier.pdf,m_2197,-118.2209347,34.3427703,matched,USA,1,1
2197,2197,1989.01.20.b,20-Jan-89,1/20/89,winter,1989,1,Unprovoked,USA,USA,North America,Hawaii,"Waialua Beach, Moloka'i",Body boarding,Earl Dunnam,male,10,Foot bitten,non-fatal,unknown,1.8 m to 2.4 m [6' to 8'] hammerhead shark,"J. Borg, p.77",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.01.20.b-Dunnam.pdf,m_2198,-158.130309,21.58123986,matched,USA,1,1
2198,2198,1989.01.20.a,20-Jan-89,1/20/89,winter,1989,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,KwaZulu-Natal,Isipingo,Lifesaving drill,Sudesh Sarjoo,male,19,Thigh bitten,non-fatal,18h00,unknown,"S. Sarjoo, M. Levine,  G. Thompson, G. Charter, M. Anderson-Read, G. Cliff & S. Dudley, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.01.20.a-Sarjoo.pdf,m_2199,30.94455,-29.99317,matched,South Africa,1,1
2199,2199,1989.01.08,8-Jan-89,1/8/89,winter,1989,1,Unprovoked,USA,USA,North America,Hawaii,"Wailua, Kaua'i",Swimming in strong current with 3 others when he disappeared,Ken Ahlstrand,male,unknown,"Lower part of body found 6 days later, x-rays revealed teeth marks in femur & tibia",fatal,unknown,unknown,"J. Borg, p.77; L. Taylor (1993), pp.106-107",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.01.08-Ahlstrand.pdf,m_2200,-159.37108,22.05589,matched,USA,1,1
2200,2200,1989.01.03,3-Jan-89,1/3/89,winter,1989,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,New South Wales,"Half Tide Beach, Evans Head",Surfing with dolphins,Adam Maguire (McGuire),male,17,"Abdomen lacerated, surfboard holed",non-fatal,17h15,"Tiger shark, 4 m [13']","Courier Mail, 1/4/1989, p.1; Herald, 1-4/1989, p.1; Miami Herald, 1/5/1989; A. Sharpe, p.87",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.01.03-McGuire.pdf,m_2201,153.42848,-29.1149,matched,Australia,1,1
2201,2201,1989.00.00.b,1989,unknown,unknown,1989,1,Unprovoked,PAPUA NEW GUINEA,PAPUA NEW GUINEA,Oceania,New Ireland,Kavieng,"Scuba diving, hand feeding sharks",Dinah Halstead,female,unknown,Thigh & calf bitten,non-fatal,unknown,7' silvertip shark,"S. Waterman, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1989.00.00.b-Halstead,m_2202,150.79669,-2.57444,matched,Papua New Guinea,u,unknown
2202,2202,1989.00.00.a,1989,unknown,unknown,1989,1,Unprovoked,USA,USA,North America,Virginia,"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",Spearfishing using scuba & trailing a string of bleeding fish,male,male,unknown,"No injury, shark grabbed his fish and chased him to the boat",non-fatal,unknown,unknown,J. Musick,http://sharkattackfile.net/spreadsheets/pdf_directory/1989.00.00.a-Virginia-spearfisherman.pdf,m_2203,-76.20488,36.90952,matched,USA,u,unknown
